HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:37659	RNA28S5	RNA, 28S ribosomal 5	Approved	RNA, ribosomal	RN28S1		22p12 not on reference assembly	110255168			1385	28S ribosomal RNAs
HGNC:44274	RNA45S1	RNA, 45S pre-ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106631780			1382	45S pre-ribosomal RNAs
HGNC:44275	RNA45S2	RNA, 45S pre-ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106631779			1382	45S pre-ribosomal RNAs
HGNC:44276	RNA45S3	RNA, 45S pre-ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106631778			1382	45S pre-ribosomal RNAs
HGNC:44277	RNA45S4	RNA, 45S pre-ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255163			1382	45S pre-ribosomal RNAs
HGNC:44273	RNA45S5	RNA, 45S pre-ribosomal 5	Approved	RNA, ribosomal			22p12 not on reference assembly	110255167			1382	45S pre-ribosomal RNAs
HGNC:5286	HTR1A	5-hydroxytryptamine receptor 1A	Approved	gene with protein product	ADRB2RL1, ADRBRL1	5-HT1A	5q12.3	3350	ENSG00000178394	OTTHUMG00000162279	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5287	HTR1B	5-hydroxytryptamine receptor 1B	Approved	gene with protein product		S12, 5-HT1B, HTR1D2, 5-HT1DB	6q14.1	3351	ENSG00000135312	OTTHUMG00000015066	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5289	HTR1D	5-hydroxytryptamine receptor 1D	Approved	gene with protein product	HTRL	RDC4, HT1DA, 5-HT1D	1p36.12	3352	ENSG00000179546	OTTHUMG00000003235	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5291	HTR1E	5-hydroxytryptamine receptor 1E	Approved	gene with protein product		5-HT1E	6q14.3	3354	ENSG00000168830	OTTHUMG00000015154	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5292	HTR1F	5-hydroxytryptamine receptor 1F	Approved	gene with protein product		HTR1EL, 5-HT1F	3p12	3355	ENSG00000179097	OTTHUMG00000159008	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5293	HTR2A	5-hydroxytryptamine receptor 2A	Approved	gene with protein product	HTR2	5-HT2A	13q14.2	3356	ENSG00000102468	OTTHUMG00000016881	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5294	HTR2B	5-hydroxytryptamine receptor 2B	Approved	gene with protein product		5-HT(2B), 5-HT2B	2q37.1	3357	ENSG00000135914	OTTHUMG00000133222	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5295	HTR2C	5-hydroxytryptamine receptor 2C	Approved	gene with protein product	HTR1C	5-HT2C, 5HTR2C	Xq23	3358	ENSG00000147246	OTTHUMG00000022226	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5299	HTR4	5-hydroxytryptamine receptor 4	Approved	gene with protein product		5-HT4	5q32	3360	ENSG00000164270	OTTHUMG00000129931	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5300	HTR5A	5-hydroxytryptamine receptor 5A	Approved	gene with protein product		5-HT5A	7q36.2	3361	ENSG00000157219	OTTHUMG00000151327	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:16291	HTR5BP	5-hydroxytryptamine receptor 5B, pseudogene	Approved	pseudogene	GPR134, HTR5B	5-HT5B	2q14.1	645694	ENSG00000125631	OTTHUMG00000058516	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5301	HTR6	5-hydroxytryptamine receptor 6	Approved	gene with protein product		5-HT6, 5-HT6R	1p36.13	3362	ENSG00000158748	OTTHUMG00000002713	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5302	HTR7	5-hydroxytryptamine receptor 7	Approved	gene with protein product		5-HT7	10q23.31	3363	ENSG00000148680	OTTHUMG00000018732	170	5-hydroxytryptamine receptors, G protein-coupled
HGNC:5297	HTR3A	5-hydroxytryptamine receptor 3A	Approved	gene with protein product	HTR3	5-HT3R, 5-HT3A	11q23.2	3359	ENSG00000166736	OTTHUMG00000160494	172	5-hydroxytryptamine receptors, ionotropic 
HGNC:5298	HTR3B	5-hydroxytryptamine receptor 3B	Approved	gene with protein product		5-HT3B	11q23.2	9177	ENSG00000149305	OTTHUMG00000168210	172	5-hydroxytryptamine receptors, ionotropic 
HGNC:24003	HTR3C	5-hydroxytryptamine receptor 3C	Approved	gene with protein product			3q27.1	170572	ENSG00000178084	OTTHUMG00000156862	172	5-hydroxytryptamine receptors, ionotropic 
HGNC:24004	HTR3D	5-hydroxytryptamine receptor 3D	Approved	gene with protein product			3q27.1	200909	ENSG00000186090	OTTHUMG00000156858	172	5-hydroxytryptamine receptors, ionotropic 
HGNC:24005	HTR3E	5-hydroxytryptamine receptor 3E	Approved	gene with protein product			3q27.1	285242	ENSG00000186038	OTTHUMG00000156857	172	5-hydroxytryptamine receptors, ionotropic 
HGNC:44282	RNA5-8S1	RNA, 5.8S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632263			1384	5.8S ribosomal RNAs
HGNC:44283	RNA5-8S2	RNA, 5.8S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632262			1384	5.8S ribosomal RNAs
HGNC:44284	RNA5-8S3	RNA, 5.8S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106632261			1384	5.8S ribosomal RNAs
HGNC:44285	RNA5-8S4	RNA, 5.8S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255166			1384	5.8S ribosomal RNAs
HGNC:37660	RNA5-8S5	RNA, 5.8S ribosomal 5	Approved	RNA, ribosomal	RN5-8S1		22p12 not on reference assembly	110255170			1384	5.8S ribosomal RNAs
HGNC:17144	NT5C	5', 3'-nucleotidase, cytosolic	Approved	gene with protein product	UMPH2	DNT1, DNT-1, PN-I, cdN, dNT-1	17q25	30833	ENSG00000125458	OTTHUMG00000179346	1042	5'-nucleotidases
HGNC:17819	NT5C1A	5'-nucleotidase, cytosolic IA	Approved	gene with protein product		CN-I, CN-IA, CN1A, CN1, MGC119199, MGC119201	1p34.2	84618	ENSG00000116981	OTTHUMG00000009244	1042	5'-nucleotidases
HGNC:17818	NT5C1B	5'-nucleotidase, cytosolic IB	Approved	gene with protein product		AIRP, CN-IB	2p24.2	93034	ENSG00000185013	OTTHUMG00000151765	1042	5'-nucleotidases
HGNC:8022	NT5C2	5'-nucleotidase, cytosolic II	Approved	gene with protein product	NT5B	PNT5, GMP, cN-II, SPG65	10q24.32-q24.33	22978	ENSG00000076685	OTTHUMG00000018981	1042	5'-nucleotidases
HGNC:17820	NT5C3A	5'-nucleotidase, cytosolic IIIA	Approved	gene with protein product	NT5C3	UMPH1, PSN1, PN-I, UMPH, P5'N-1, cN-III, p36, POMP, hUMP1	7p14.3	51251	ENSG00000122643	OTTHUMG00000152983	1042	5'-nucleotidases
HGNC:8021	NT5E	5'-nucleotidase ecto	Approved	gene with protein product	NT5	CD73, eN, eNT, CALJA	6q14.3	4907	ENSG00000135318	OTTHUMG00000015139	1042	5'-nucleotidases
HGNC:15769	NT5M	5',3'-nucleotidase, mitochondrial	Approved	gene with protein product		dNT-2, dNT2, mdN	17p11.2	56953	ENSG00000205309	OTTHUMG00000059277	1042	5'-nucleotidases
HGNC:25726	LAS1L	LAS1 like, ribosome biogenesis factor	Approved	gene with protein product		FLJ12525	Xq12	81887	ENSG00000001497	OTTHUMG00000021720	1301	5FMC ribosome biogenesis complex
HGNC:26265	NOL9	nucleolar protein 9	Approved	gene with protein product		FLJ23323, NET6, Grc3	1p36.31	79707	ENSG00000162408	OTTHUMG00000000904	1301	5FMC ribosome biogenesis complex
HGNC:30134	PELP1	proline, glutamate and leucine rich protein 1	Approved	gene with protein product		MNAR	17p13.2	27043	ENSG00000141456	OTTHUMG00000177831	1301	5FMC ribosome biogenesis complex
HGNC:17862	SENP3	SUMO specific peptidase 3	Approved	gene with protein product		DKFZP586K0919, SSP3, DKFZp762A152, SMT3IP1, Ulp1	17p13	26168	ENSG00000161956	OTTHUMG00000178333	1301	5FMC ribosome biogenesis complex
HGNC:25988	TEX10	testis expressed 10	Approved	gene with protein product		FLJ20287, bA208F1.2, Ipi1	9q31.1	54881	ENSG00000136891	OTTHUMG00000020366	1301	5FMC ribosome biogenesis complex
HGNC:17956	WDR18	WD repeat domain 18	Approved	gene with protein product		Ipi3	19p13.3	57418	ENSG00000065268	OTTHUMG00000181903	1301	5FMC ribosome biogenesis complex
HGNC:34362	RNA5S1	RNA, 5S ribosomal 1	Approved	RNA, ribosomal	RN5S1		1q42.13	100169751	ENSG00000199352		1380	5S ribosomal RNAs
HGNC:34371	RNA5S10	RNA, 5S ribosomal 10	Approved	RNA, ribosomal	RN5S10		1q42.13	100169761	ENSG00000199910		1380	5S ribosomal RNAs
HGNC:34372	RNA5S11	RNA, 5S ribosomal 11	Approved	RNA, ribosomal	RN5S11		1q42.13	100169762	ENSG00000199334		1380	5S ribosomal RNAs
HGNC:34373	RNA5S12	RNA, 5S ribosomal 12	Approved	RNA, ribosomal	RN5S12		1q42.13	100169763	ENSG00000199270		1380	5S ribosomal RNAs
HGNC:34374	RNA5S13	RNA, 5S ribosomal 13	Approved	RNA, ribosomal	RN5S13		1q42.13	100169764	ENSG00000202526		1380	5S ribosomal RNAs
HGNC:34375	RNA5S14	RNA, 5S ribosomal 14	Approved	RNA, ribosomal	RN5S14		1q42.13	100169765	ENSG00000201355		1380	5S ribosomal RNAs
HGNC:34376	RNA5S15	RNA, 5S ribosomal 15	Approved	RNA, ribosomal	RN5S15		1q42.13	100169766	ENSG00000201925		1380	5S ribosomal RNAs
HGNC:34377	RNA5S16	RNA, 5S ribosomal 16	Approved	RNA, ribosomal	RN5S16		1q42.13	100169767	ENSG00000202257		1380	5S ribosomal RNAs
HGNC:34378	RNA5S17	RNA, 5S ribosomal 17	Approved	RNA, ribosomal	RN5S17		1q42.13	100169768	ENSG00000200370		1380	5S ribosomal RNAs
HGNC:34363	RNA5S2	RNA, 5S ribosomal 2	Approved	RNA, ribosomal	RN5S2		1q42.13	100169753	ENSG00000201588		1380	5S ribosomal RNAs
HGNC:34364	RNA5S3	RNA, 5S ribosomal 3	Approved	RNA, ribosomal	RN5S3		1q42.13	100169754	ENSG00000199337		1380	5S ribosomal RNAs
HGNC:34365	RNA5S4	RNA, 5S ribosomal 4	Approved	RNA, ribosomal	RN5S4		1q42.13	100169755	ENSG00000200381		1380	5S ribosomal RNAs
HGNC:34366	RNA5S5	RNA, 5S ribosomal 5	Approved	RNA, ribosomal	RN5S5		1q42.13	100169756	ENSG00000199396		1380	5S ribosomal RNAs
HGNC:34367	RNA5S6	RNA, 5S ribosomal 6	Approved	RNA, ribosomal	RN5S6		1q42.13	100169757	ENSG00000200624		1380	5S ribosomal RNAs
HGNC:34368	RNA5S7	RNA, 5S ribosomal 7	Approved	RNA, ribosomal	RN5S7		1q42.13	100169758	ENSG00000202521		1380	5S ribosomal RNAs
HGNC:34369	RNA5S8	RNA, 5S ribosomal 8	Approved	RNA, ribosomal	RN5S8		1q42.13	100169759	ENSG00000200343		1380	5S ribosomal RNAs
HGNC:34370	RNA5S9	RNA, 5S ribosomal 9	Approved	RNA, ribosomal	RN5S9		1q42.13	100169760	ENSG00000201321		1380	5S ribosomal RNAs
HGNC:8872	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	Approved	gene with protein product	PFRX		Xp11.21	5207	ENSG00000158571	OTTHUMG00000021643	1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
HGNC:8873	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	Approved	gene with protein product			1q32.1	5208	ENSG00000123836	OTTHUMG00000036033	1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
HGNC:8874	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Approved	gene with protein product			10p15.1	5209	ENSG00000170525	OTTHUMG00000017621	1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
HGNC:8875	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	Approved	gene with protein product			3p21.31	5210	ENSG00000114268	OTTHUMG00000133528	1077	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
HGNC:1755	CDH16	cadherin 16	Approved	gene with protein product			16q22.1	1014	ENSG00000166589	OTTHUMG00000137518	1187	7D cadherins
HGNC:1756	CDH17	cadherin 17	Approved	gene with protein product		HPT-1, cadherin	8q22.1	1015	ENSG00000079112	OTTHUMG00000164391	1187	7D cadherins
HGNC:24912	LARP7	La ribonucleoprotein domain family member 7	Approved	gene with protein product		HDCMA18P, PIP7S, DKFZP564K112	4q25	51574	ENSG00000174720	OTTHUMG00000132909	1676	7SK snRNP complex
HGNC:20247	MEPCE	methylphosphate capping enzyme	Approved	gene with protein product	BCDIN3	FLJ20257, MePCE	7q22.1	56257	ENSG00000146834	OTTHUMG00000155255	1676	7SK snRNP complex
HGNC:10037	RN7SK	RNA, 7SK small nuclear	Approved	RNA, small nuclear		7SK	6p12.2	125050	ENSG00000283293	OTTHUMG00000191875	1676	7SK snRNP complex
HGNC:17830	GPR107	G protein-coupled receptor 107	Approved	gene with protein product		KIAA1624, RP11-88G17, FLJ20998, LUSTR1	9q34.11	57720	ENSG00000148358	OTTHUMG00000020804	310	7TM orphan receptors
HGNC:17829	GPR108	G protein-coupled receptor 108	Approved	gene with protein product		LUSTR2	19p13.3	56927	ENSG00000125734	OTTHUMG00000170129	310	7TM orphan receptors
HGNC:24300	GPR137	G protein-coupled receptor 137	Approved	gene with protein product		C11orf4, GPR137A, TM7SF1L1	11q13.1	56834	ENSG00000173264	OTTHUMG00000167817	310	7TM orphan receptors
HGNC:20145	GPR143	G protein-coupled receptor 143	Approved	gene with protein product	OA1		Xp22.2	4935	ENSG00000101850	OTTHUMG00000021118	310	7TM orphan receptors
HGNC:23687	GPR157	G protein-coupled receptor 157	Approved	gene with protein product		FLJ12132	1p36.22	80045	ENSG00000180758	OTTHUMG00000001758	310	7TM orphan receptors
HGNC:30413	TPRA1	transmembrane protein adipocyte associated 1	Approved	gene with protein product	GPR175	TPRA40, FLJ32197, TMEM227	3q21.3	131601	ENSG00000163870	OTTHUMG00000159639	310	7TM orphan receptors
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	gene with protein product	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	64746	ENSG00000182827	OTTHUMG00000037560	396	A-kinase anchoring proteins
HGNC:367	AKAP1	A-kinase anchoring protein 1	Approved	gene with protein product	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17	17q22	8165	ENSG00000121057	OTTHUMG00000140369	396	A-kinase anchoring proteins
HGNC:368	AKAP10	A-kinase anchoring protein 10	Approved	gene with protein product		D-AKAP2, PRKA10, MGC9414	17p11.2	11216	ENSG00000108599	OTTHUMG00000059515	396	A-kinase anchoring proteins
HGNC:369	AKAP11	A-kinase anchoring protein 11	Approved	gene with protein product		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	13q14.11	11215	ENSG00000023516	OTTHUMG00000016805	396	A-kinase anchoring proteins
HGNC:370	AKAP12	A-kinase anchoring protein 12	Approved	gene with protein product		AKAP250, SSeCKS	6q25.1	9590	ENSG00000131016	OTTHUMG00000015833	396	A-kinase anchoring proteins
HGNC:371	AKAP13	A-kinase anchoring protein 13	Approved	gene with protein product	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	15q25.3	11214	ENSG00000170776	OTTHUMG00000172205	396	A-kinase anchoring proteins
HGNC:24061	AKAP14	A-kinase anchoring protein 14	Approved	gene with protein product		AKAP28	Xq24	158798	ENSG00000186471	OTTHUMG00000022285	396	A-kinase anchoring proteins
HGNC:18783	AKAP17A	A-kinase anchoring protein 17A	Approved	gene with protein product	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	Xp22.33 and Yp11.32	8227	ENSG00000197976	OTTHUMG00000021063	396	A-kinase anchoring proteins
HGNC:38514	AKAP17BP	A-kinase anchoring protein 17B, pseudogene	Approved	pseudogene	AKAP16B, AKAP16BP		Xq24	139516	ENSG00000214992	OTTHUMG00000022267	396	A-kinase anchoring proteins
HGNC:372	AKAP2	A-kinase anchoring protein 2	Approved	gene with protein product	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2	9q31.3	11217	ENSG00000241978	OTTHUMG00000156811	396	A-kinase anchoring proteins
HGNC:373	AKAP3	A-kinase anchoring protein 3	Approved	gene with protein product		FSP95, SOB1, AKAP110, CT82	12p13.32	10566	ENSG00000111254	OTTHUMG00000168226	396	A-kinase anchoring proteins
HGNC:374	AKAP4	A-kinase anchoring protein 4	Approved	gene with protein product		p82, hAKAP82, AKAP82, Fsc1, HI, CT99	Xp11.22	8852	ENSG00000147081	OTTHUMG00000021517	396	A-kinase anchoring proteins
HGNC:375	AKAP5	A-kinase anchoring protein 5	Approved	gene with protein product		AKAP75, AKAP79	14q23.3	9495	ENSG00000179841	OTTHUMG00000029634	396	A-kinase anchoring proteins
HGNC:376	AKAP6	A-kinase anchoring protein 6	Approved	gene with protein product		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6	14q12	9472	ENSG00000151320	OTTHUMG00000140207	396	A-kinase anchoring proteins
HGNC:377	AKAP7	A-kinase anchoring protein 7	Approved	gene with protein product		AKAP18, AKAP15	6q23.2	9465	ENSG00000118507	OTTHUMG00000015563	396	A-kinase anchoring proteins
HGNC:378	AKAP8	A-kinase anchoring protein 8	Approved	gene with protein product		AKAP95, DKFZp586B1222	19p13.12	10270	ENSG00000105127	OTTHUMG00000182444	396	A-kinase anchoring proteins
HGNC:379	AKAP9	A-kinase anchoring protein 9	Approved	gene with protein product		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11	7q21.2	10142	ENSG00000127914	OTTHUMG00000131127	396	A-kinase anchoring proteins
HGNC:15853	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	Approved	gene with protein product		BIG2	20q13.13	10564	ENSG00000124198	OTTHUMG00000032687	396	A-kinase anchoring proteins
HGNC:28191	C2orf88	chromosome 2 open reading frame 88	Approved	gene with protein product		MGC13057, smAKAP	2q32.2	84281	ENSG00000187699	OTTHUMG00000154361	396	A-kinase anchoring proteins
HGNC:1537	CBFA2T3	CBFA2/RUNX1 translocation partner 3	Approved	gene with protein product		MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2	16q24.3	863	ENSG00000129993	OTTHUMG00000137864	396	A-kinase anchoring proteins
HGNC:14305	CMYA5	cardiomyopathy associated 5	Approved	gene with protein product	C5orf10	SPRYD2, DKFZp451G223, TRIM76	5q14.1	202333	ENSG00000164309	OTTHUMG00000162548	396	A-kinase anchoring proteins
HGNC:12691	EZR	ezrin	Approved	gene with protein product	VIL2		6q25.3	7430	ENSG00000092820	OTTHUMG00000015917	396	A-kinase anchoring proteins
HGNC:6839	MAP2	microtubule associated protein 2	Approved	gene with protein product		MAP2A, MAP2B, MAP2C	2q34	4133	ENSG00000078018	OTTHUMG00000132962	396	A-kinase anchoring proteins
HGNC:7606	MYO7A	myosin VIIA	Approved	gene with protein product	USH1B, DFNB2, DFNA11	NSRD2	11q13.5	4647	ENSG00000137474	OTTHUMG00000152822	396	A-kinase anchoring proteins
HGNC:19156	MYRIP	myosin VIIA and Rab interacting protein	Approved	gene with protein product		DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C	3p22.1	25924	ENSG00000170011	OTTHUMG00000131392	396	A-kinase anchoring proteins
HGNC:7648	NBEA	neurobeachin	Approved	gene with protein product		KIAA1544, BCL8B, FLJ10197, LYST2	13q13.3	26960	ENSG00000172915	OTTHUMG00000016724	396	A-kinase anchoring proteins
HGNC:7773	NF2	neurofibromin 2	Approved	gene with protein product		merlin, ACN, SCH, BANF	22q12.2	4771	ENSG00000186575	OTTHUMG00000030727	396	A-kinase anchoring proteins
HGNC:9772	RAB32	RAB32, member RAS oncogene family	Approved	gene with protein product			6q24.3	10981	ENSG00000118508	OTTHUMG00000015755	396	A-kinase anchoring proteins
HGNC:30619	SPHKAP	SPHK1 interactor, AKAP domain containing	Approved	gene with protein product		SKIP	2q36.3	80309	ENSG00000153820	OTTHUMG00000153584	396	A-kinase anchoring proteins
HGNC:24466	SYNM	synemin	Approved	gene with protein product	DMN	KIAA0353, SYN	15q26.3	23336	ENSG00000182253	OTTHUMG00000171887	396	A-kinase anchoring proteins
